,code,lat,lon,name,city,state,country,woeid,tz,phone,type,email,url,runway_length,elev,icao,direct_flights,carriers
74,AGU,21.7047,-102.317,Aguascalientes Airport,Aguascalientes,Aguascalientes,Mexico,12514821,America/Mexico_City,0,Airports,BLANK,BLANK,4921.0,6112.0,MMAS,8,11
75,AGV,9.55194,-69.2367,Acarigua,Acarigua,Portuguesa,Venezuela,12522827,America/Caracas,0,Airports,BLANK,BLANK,5905.0,640.0,SVAC,1,1
76,AGX,10.8415,72.175,Agatti Island Airport,Agatti Island,Lakshadweep,India,12467998,Asia/Kolkata,+91 4894-42217,Airports,BLANK,BLANK,1204.0,,VOAT,1,1
77,AHB,18.24,42.6556,Abha Airport,Hajlah,Asir,Saudi Arabia,12517317,Asia/Riyadh,0,Airports,BLANK,BLANK,10991.0,6857.0,OEAB,6,2
78,AHC,40.2664,-120.151,Amedee Army Air Field,Herlong,California,United States,12518602,America/Los_Angeles,0,Military Airport,BLANK,BLANK,,,KAHC,1,1
79,AHE,-14.5,-1.3,Ahe Airport,Ahe,Tuamotu-Gambier,French Polynesia,24549702,Pacific/Midway,0,Airports,BLANK,BLANK,,,BLANK,3,1
80,AHO,40.6319,8.29279,Alghero Airport,Alghero,Sardinia,Italy,12513798,Europe/Rome,0,Airports,BLANK,BLANK,9842.0,88.0,LIEA,23,11
81,AHS,15.4534,-84.4041,Ahuas Airport,Auas,Gracias a Dios,Honduras,12524351,America/Tegucigalpa,0,Airports,BLANK,BLANK,2460.0,98.0,BLANK,1,1
82,AHU,35.1781,-3.8383,Cote du Rif Airport,Al Hoceima,Al Hoceima,Morocco,12514784,Africa/Casablanca,0,Airports,BLANK,BLANK,7087.0,89.0,GMTA,2,1
83,AIA,42.0622,-102.81,Alliance Municipal Airport,Alliance,Nebraska,United States,12518583,America/Denver,0,Airports,BLANK,BLANK,9202.0,3929.0,KAIA,3,3
84,AIN,70.6139,-159.857,Wainwright Airport,Wainwright,Alaska,United States,12522307,America/Anchorage,0,Airports,BLANK,BLANK,2200.0,25.0,PAWT,2,1
85,AIT,-18.8299,-159.765,Aitutaki Airport,Aitutaki,Aitutaki,Cook Islands,24549676,Pacific/Rarotonga,0,Airports,BLANK,BLANK,5981.0,14.0,NCAI,1,2
86,AIU,-20.0333,-158.1,Atiu Island,Atiu Island,Atiu,Cook Islands,12523056,Pacific/Rarotonga,0,Airports,BLANK,BLANK,2648.0,200.0,NCAT,1,1
87,AJA,41.9204,8.79778,Campo Dell Oro Airport,Ajaccio,Corsica,France,12512869,Europe/Paris,0,Airports,BLANK,BLANK,6972.0,16.0,LFKJ,18,6
88,AJF,29.7897,40.1039,Al Jouf Airport,Sakakah,Al Jawf,Saudi Arabia,12517324,Asia/Riyadh,0,Airports,BLANK,BLANK,12008.0,2261.0,OESK,6,1
89,AJI,39.7239,43.0618,Agri Airport,Agrı,Ağrı,Turkey,12523340,Europe/Istanbul,0,Airports,BLANK,BLANK,,,LTCO,2,1
90,AJL,23.7361,92.8083,Aizwal Airport,Aizawl,Mizoram,India,12513530,Asia/Kolkata,0,Airports,BLANK,BLANK,3131.0,1000.0,VEAZ,3,2
91,AJN,-12.2234,44.3709,Comoros,Anjouan,Anjouan,Comoros,23424786,Indian/Comoro,0,Airports,BLANK,BLANK,4429.0,62.0,FMCV,5,1
